seed,model,file_name,speaker_annotation,listener_file_name,listener_annotation,thinking_level/budget,temperature,max_output_tokens,exclusion,number_of_exclusion,listener_accuracy (before includding correct based on thought),listener_accuracy (after correction),other notes
5,gemini-2.5-flash,speaker-gemini-2.5-flash_1_none_5,,listener-gemini-2.5-flash_1_none_5,done,0,1,NA,"exp2_001.jpeg', 'exp2_009.jpeg', 'exp2_010.jpeg', 'exp2_013.jpeg', 'exp2_015.jpeg', 'exp2_018.jpeg', 'exp2_019.jpeg', 'exp2_022.jpeg', 'exp2_031.jpeg', 'exp2_034.jpeg', 'exp2_037.jpeg', 'exp2_038.jpeg', 'exp2_042.jpeg', 'exp2_044.jpeg', 'exp2_045.jpeg', 'exp2_048.jpeg', 'exp2_053.jpeg', 'exp2_056.jpeg', 'exp2_057.jpeg', 'exp2_059.jpeg', 'exp2_060.jpeg', 'exp2_065.jpeg', 'exp2_067.jpeg', 'exp2_069.jpeg', 'exp2_071.jpeg', 'exp2_072.jpeg', 'exp2_073.jpeg', 'exp2_077.jpeg', 'exp2_079.jpeg', 'exp2_082.jpeg', 'exp2_083.jpeg', 'exp2_091.jpeg', 'exp2_093.jpeg', 'exp2_097.jpeg', 'exp2_098.jpeg', 'exp2_105.jpeg', 'exp2_107.jpeg', 'exp2_112.jpeg', 'exp2_113.jpeg', 'exp2_116.jpeg', 'exp2_117.jpeg', 'exp2_120.jpeg'",42,0.987179487,0.987179487,"exp2_120 is flipped, but it is excluded because it uses relative position"
5,gemini-2.5-flash,speaker-gemini-2.5-flash_1_low_5,,listener-gemini-2.5-flash_1_low_5,done,2048,1,NA,"exp2_017.jpeg', 'exp2_048.jpeg'",2,0.966101695,0.966101695,
5,gemini-2.5-flash,speaker-gemini-2.5-flash_1_medium_5,,listener-gemini-2.5-flash_1_medium_5,done,8192,1,NA,"exp2_034.jpeg', 'exp2_058.jpeg'",2,0.966101695,0.974576271,one correct baesd on thoughts (exp2_007); exp2_058: please select the green circle filled with gray dots that is not behind a red curtain. (excluded); exp2_110 and exp2_120: incorrectly treated rows as columns and vice versa. currently treating them as incorrect-flipped
5,gemini-2.5-flash,speaker-gemini-2.5-flash_1_high_5,,listener-gemini-2.5-flash_1_high_5,done,24576,1,NA,exp2_034.jpeg',1,0.957983193,0.957983193,"one correct baesd on thoughts (exp2_034), but it is excluded because it uses relative position"
5,gemini-2.5-pro,speaker-gemini-2.5-pro_1_none_5,,listener-gemini-2.5-pro_1_none_5,done,128,1,NA,"exp2_002.jpeg', 'exp2_004.jpeg', 'exp2_005.jpeg', 'exp2_009.jpeg', 'exp2_020.jpeg', 'exp2_022.jpeg', 'exp2_034.jpeg', 'exp2_047.jpeg', 'exp2_053.jpeg', 'exp2_057.jpeg', 'exp2_059.jpeg', 'exp2_060.jpeg', 'exp2_066.jpeg', 'exp2_071.jpeg', 'exp2_089.jpeg', 'exp2_090.jpeg', 'exp2_106.jpeg', 'exp2_113.jpeg', 'exp2_115.jpeg'",19,0.752475248,,"exp2_002, exp2_034, exp2_090 incorrect and using relative position"
5,gemini-2.5-pro,speaker-gemini-2.5-pro_1_low_5,,listener-gemini-2.5-pro_1_low_5,done,2048,1,NA,,0,0.941666667,0.941666667,"exp2_061 is ambiguos (""Stripe"" refers to the target and one occluded -> the listener selected the occluded)"
5,gemini-2.5-pro,speaker-gemini-2.5-pro_1_medium_5,,listener-gemini-2.5-pro_1_medium_5,done,8192,1,NA,exp2_048.jpeg',1,0.941176471,0.941176471,
5,gemini-2.5-pro,speaker-gemini-2.5-pro_1_high_5,,listener-gemini-2.5-pro_1_high_5,done,32768,1,NA,exp2_048.jpeg',1,0.949579832,0.949579832,
5,gemini-3-flash,speaker-gemini-3-flash_1_minimal_5,,listener-gemini-3-flash_1_minimal_5,done,minimal,1,NA,"exp2_032.jpeg', 'exp2_038.jpeg', 'exp2_044.jpeg', 'exp2_047.jpeg', 'exp2_050.jpeg', 'exp2_093.jpeg', 'exp2_116.jpeg'",7,1,1,"exp2_116 is ambiguous and got wrong, but it is excluded because it mentions the dashed red box"
5,gemini-3-flash,speaker-gemini-3-flash_1_low_5,,listener-gemini-3-flash_1_low_5,done,low,1,NA,,0,1,1,
5,gemini-3-flash,speaker-gemini-3-flash_1_medium_5,,listener-gemini-3-flash_1_medium_5,done,medium,1,NA,,0,1,1,
5,gemini-3-flash,speaker-gemini-3-flash_1_high_5,,listener-gemini-3-flash_1_high_5,done,high,1,NA,"exp2_002.jpeg', 'exp2_116.jpeg'",2,1,1,
5,gemini-3-pro,speaker-gemini-3-pro_1_low_5,,listener-gemini-3-pro_1_low_5,done,low,1,NA,"exp2_002.jpeg', 'exp2_006.jpeg', 'exp2_013.jpeg', 'exp2_017.jpeg', 'exp2_025.jpeg', 'exp2_041.jpeg', 'exp2_044.jpeg', 'exp2_047.jpeg', 'exp2_071.jpeg'",9,1,1,
5,gemini-3-pro,speaker-gemini-3-pro_1_high_5,,listener-gemini-3-pro_1_high_5,done,high,1,NA,,,1,1,
5,gpt-5.1,speaker-gpt-5.1_1_none_5,,listener-gpt-5.1_1_none_5,done,none,1,NA,"exp2_034.jpeg', 'exp2_089.jpeg'",2,1,1,all excluded items: not behind the curtain
5,gpt-5.1,speaker-gpt-5.1_1_low_5,,listener-gpt-5.1_1_low_5,done,low,not supported,1024,"exp2_010.jpeg', 'exp2_072.jpeg', 'exp2_103.jpeg'",3,0.991452992,0.991452992,all excluded items: not behind the curtain
5,gpt-5.1,speaker-gpt-5.1_1_medium_5,,listener-gpt-5.1_1_medium_5,done,medium,not supported,1024,"exp2_010.jpeg', 'exp2_047.jpeg', 'exp2_050.jpeg', 'exp2_100.jpeg', 'exp2_116.jpeg'",5,0.991304348,0.991304348,all excluded items: not behind the curtain
5,gpt-5.1,speaker-gpt-5.1_1_high_5,,listener-gpt-5.1_1_high_5,done,high,not supported,1024,exp2_120.jpeg',1,1,1,exp2_120: not any red curtain
5,gpt-5.2,speaker-gpt-5.2_1_none_5,,listener-gpt-5.2_1_none_5,done,none,1,1024,"exp2_034.jpeg', 'exp2_089.jpeg'",2,0.974576271,0.974576271,all excluded items: not behind the curtain; exp2_116: ambiguous
5,gpt-5.2,speaker-gpt-5.2_1_low_5,,listener-gpt-5.2_1_low_5,done,low,not supported,1024,"exp2_010.jpeg', 'exp2_072.jpeg', 'exp2_103.jpeg'",3,1,1,all excluded items: not behind the curtain
5,gpt-5.2,speaker-gpt-5.2_1_medium_5,,listener-gpt-5.2_1_medium_5,done,medium,not supported,1024,"exp2_010.jpeg', 'exp2_047.jpeg', 'exp2_050.jpeg', 'exp2_100.jpeg', 'exp2_116.jpeg'",5,1,1,all excluded items: not behind the curtain
5,gpt-5.2,speaker-gpt-5.2_1_high_5,,listener-gpt-5.2_1_high_5,done,high,not supported,1024,exp2_120.jpeg',1,1,1,exp2_120: not any red curtain
